Order Id,Customer ID,Cust_name,Age,City,State,Order Date,Ord_Status,Product ID,Prod_Name,Category,Sub category,Price,Quantity,Amount,Paymt-Mode,Delivery Time,Delivery status,Distance,Rating,REVENUE,DELIVERY_time,Distance_category,Order Type,MONTH,,,,,,,,,,,,,,,,,
O000011,C00011,Aditya Mehta,33,Bengaluru,Karnataka,2024-09-27 00:00:00,Cancelled,P00760,Quick Dishwash 6 pcs,Fruits & Vegetables,Fresh Vegetables,80,3,450,UPI,72,Delivered Late,8.8,4,240,Slow,Far,Failed,September,,,,Lucknow,960,,,Snacks & Branded Foods,399560,,,,,,,August,837
O000012,C00012,Isha Reddy,38,Mumbai,Maharashtra,2024-09-13 00:00:00,Cancelled,P00949,Quick Dishwash 500ml,Fruits & Vegetables,Herbs,270,5,700,Wallet,52,Delivered On Time,7.6,5,1350,Slow,Far,Failed,September,,,,Mumbai,955,,,Grand Total,6677500,,,,,,,September,832
O000013,C00013,Vivaan Yadav,31,Lucknow,Uttar Pradesh,2024-04-14 00:00:00,Delivered,P00630,Fresh Eggs 6 pcs,Beverages,Tea & Coffee,180,5,900,UPI,63,Delivered Late,8.3,3,900,Slow,Far,Successful,April,,,,Pune,1009,,,,,,,,,,,October,878
O000014,C00014,Ishaan Jain,59,Ahmedabad,Gujarat,2024-05-01 00:00:00,Delivered,P00235,Quick Basmati Rice 2kg,Beverages,Juices,60,1,500,Cash on Delivery,26,Delivered On Time,3.6,5,60,Fast,Near,Successful,May,,,,Grand Total,10000,,,,,,,,,,,November,804
O000015,C00015,Rohan Gupta,52,Chennai,Tamil Nadu,2024-08-04 00:00:00,Delivered,P00012,Good Cookies 200g,Snacks & Branded Foods,Biscuits & Cookies,250,1,120,UPI,38,Delivered Late,3,4,250,Fast,Near,Successful,August,,,,,,,,,,,,,,,,December,844
O000016,C00016,Kriti Mehta,26,Jaipur,Rajasthan,2023-09-23 00:00:00,Delivered,P00039,Metro Namkeen 1L,Personal Care,Hair Care,530,1,380,UPI,54,Delivered Late,5.3,5,530,Slow,Near,Successful,September,,,,,,,,,,,,,,,,Grand Total,10000
O000017,C00017,Aditya Sharma,28,Kolkata,West Bengal,2024-06-16 00:00:00,Delivered,P00369,Urban Tea 500ml,Personal Care,Skin Care,70,2,140,Debit Card,7,Delivered On Time,0.7,2,140,Fast,Near,Successful,June,,,,,,,,,,,,,,,,,
O000018,C00018,Aditya Khan,47,Jaipur,Rajasthan,2024-04-03 00:00:00,Delivered,Not found,Not found,Not found,Not found,0,1,120,Debit Card,35,Delivered Late,3.7,3,0,Fast,Near,Successful,April,,,,,,,,,,,,,,,,,
O000019,C00019,Meera Sharma,52,Chennai,Tamil Nadu,2023-01-10 00:00:00,Delivered,P01180,Pure Cookies 500ml,Grocery & Staples,Atta & Flour,570,3,240,Cash on Delivery,11,Delivered Late,0.6,5,1710,Fast,Near,Successful,January,,,,,,,,,,,,,,,,,
O000020,C00020,Diya Verma,47,Mumbai,Maharashtra,2023-12-23 00:00:00,Returned,P00656,Good Cold Drink 6 pcs,Snacks & Branded Foods,Chips & Namkeen,20,5,1450,Cash on Delivery,44,Delivered Late,5.1,5,100,Fast,Near,Failed,December,,,,,,,,,,,,,,,,,
O000021,C00021,Khushi Gupta,58,Chennai,Tamil Nadu,2023-05-12 00:00:00,Delivered,P00786,Pure Juice 500ml,Baby Care,Diapers,120,1,570,UPI,57,Delivered On Time,8.4,4,120,Slow,Far,Successful,May,,,,,,,,,,,,,,,,,
O000022,C00022,Khushi Mehta,28,Jaipur,Rajasthan,2023-05-10 00:00:00,Delivered,P00734,Fresh Eggs 1kg,Fruits & Vegetables,Herbs,300,4,440,UPI,26,Delivered On Time,2.8,4,1200,Fast,Near,Successful,May,,,,,,,,,,,,,,,,,
O000023,C00023,Aarav Mehta,25,Pune,Maharashtra,2024-05-02 00:00:00,Cancelled,P00465,Smart Tea 1L,Personal Care,Hair Care,60,1,170,Cash on Delivery,90,Delivered Late,9.6,4,60,Slow,Far,Failed,May,,,,,,,,,,,,,,,,,
O000024,C00024,Kabir Sharma,23,Delhi,Delhi,2023-01-13 00:00:00,Delivered,P00466,Good Shampoo 200g,Dairy & Bakery,Paneer,240,5,900,UPI,80,Delivered Late,9.3,5,1200,Slow,Far,Successful,January,,,,,,,,,,,,,,,,,
O000025,C00025,Aditya Singh,48,Jaipur,Rajasthan,2024-09-25 00:00:00,Delivered,P01055,Daily Eggs 1L,Household,Laundry,70,1,240,Credit Card,89,Delivered On Time,9.9,3,70,Slow,Far,Successful,September,,,,,,,,,,,,,,,,,
O000026,C00026,Rohan Singh,31,Jaipur,Rajasthan,2024-04-12 00:00:00,Delivered,P00374,Urban Cashew 1L,Baby Care,Diapers,260,1,80,UPI,12,Delivered On Time,2.1,5,260,Fast,Near,Successful,April,,,,,,,,,,,,,,,,,
O000027,C00027,Ishaan Reddy,59,Pune,Maharashtra,2024-06-22 00:00:00,Delivered,P00091,Happy Banana 500ml,Beverages,Juices,70,3,1410,Net Banking,29,Delivered Late,2.4,2,210,Fast,Near,Successful,June,,,,,,,,,,,,,,,,,
O000028,C00028,Khushi Jain,22,Pune,Maharashtra,2023-05-09 00:00:00,Delivered,P01005,Fresh Shampoo 200g,Personal Care,Skin Care,520,4,920,UPI,44,Delivered On Time,7.4,1,2080,Fast,Far,Successful,May,,,,,,,,,,,,,,,,,
O000029,C00029,Pooja Singh,18,Delhi,Delhi,2024-07-22 00:00:00,Cancelled,P01147,Green Toor Dal 1kg,Fruits & Vegetables,Fresh Fruits,40,1,410,UPI,44,Delivered Late,4.7,4,40,Fast,Near,Failed,July,,,,,,,,,,,,,,,,,
O000030,C00030,Vivaan Patel,39,Delhi,Delhi,2024-12-04 00:00:00,Delivered,P00009,Pure Banana 12 pcs,Personal Care,Oral Care,160,2,200,Cash on Delivery,80,Delivered Late,8.5,3,320,Slow,Far,Successful,December,,,,,,,,,,,,,,,,,
O000031,C00031,Kabir Reddy,26,Lucknow,Uttar Pradesh,2023-08-28 00:00:00,Delivered,P00513,Pure Chocolate 2kg,Dairy & Bakery,Paneer,220,3,270,Cash on Delivery,5,Delivered On Time,0.9,5,660,Fast,Near,Successful,August,,,,,,,,,,,,,,,,,
O000032,C00032,Saanvi Patel,30,Delhi,Delhi,2024-12-02 00:00:00,Delivered,P00110,Green Shampoo 1L,Baby Care,Baby Food,500,5,750,UPI,68,Delivered Late,8.1,1,2500,Slow,Far,Successful,December,,,,,,,,,,,,,,,,,
O000033,C00033,Kriti Yadav,21,Delhi,Delhi,2024-05-18 00:00:00,Returned,P00749,Fresh Basmati Rice 200g,Snacks & Branded Foods,Chips & Namkeen,80,1,80,UPI,5,Delivered On Time,1,2,80,Fast,Near,Failed,May,,,,,,,,,,,,,,,,,
O000034,C00034,Isha Yadav,30,Jaipur,Rajasthan,2023-08-08 00:00:00,Delivered,P00433,Good Cold Drink 2kg,Beverages,Juices,30,5,650,Debit Card,29,Delivered Late,2.8,5,150,Fast,Near,Successful,August,,,,,,,,,,,,,,,,,
O000035,C00035,Krishna Khan,33,Delhi,Delhi,2023-09-30 00:00:00,Delivered,Not found,Not found,Not found,Not found,0,4,240,Credit Card,70,Delivered On Time,9.8,2,0,Slow,Far,Successful,September,,,,,,,,,,,,,,,,,
O000036,C00036,Meera Verma,52,Mumbai,Maharashtra,2023-03-11 00:00:00,Delivered,P00146,Urban Coffee 6 pcs,Personal Care,Skin Care,530,1,90,UPI,66,Delivered Late,6.8,5,530,Slow,Far,Successful,March,,,,,,,,,,,,,,,,,
O000037,C00037,Kabir Gupta,31,Kolkata,West Bengal,2024-12-25 00:00:00,Cancelled,Not found,Not found,Not found,Not found,0,5,1650,Credit Card,16,Delivered On Time,3.2,4,0,Fast,Near,Failed,December,,,,,,,,,,,,,,,,,
O000038,C00038,Aryan Khan,34,Ahmedabad,Gujarat,2023-01-08 00:00:00,Delivered,P00037,Good Eggs 500g,Baby Care,Diapers,450,5,800,Debit Card,92,Delivered Late,8.5,4,2250,Slow,Far,Successful,January,,,,,,,,,,,,,,,,,
O000039,C00039,Kriti Singh,36,Hyderabad,Telangana,2023-05-19 00:00:00,Delivered,P00753,Pure Banana 500g,Fruits & Vegetables,Fresh Vegetables,40,5,300,Cash on Delivery,30,Delivered Late,2,5,200,Fast,Near,Successful,May,,,,,,,,,,,,,,,,,
O000040,C00040,Pooja Singh,21,Mumbai,Maharashtra,2024-05-05 00:00:00,Delivered,P00375,Pure Tea 6 pcs,Baby Care,Baby Food,430,1,50,UPI,55,Delivered Late,8.4,3,430,Slow,Far,Successful,May,,,,,,,,,,,,,,,,,
O000041,C00041,Saanvi Singh,50,Delhi,Delhi,2024-11-05 00:00:00,Returned,P00305,Daily Coffee 1L,Fruits & Vegetables,Fresh Vegetables,290,4,920,Credit Card,41,Delivered Late,5.6,3,1160,Fast,Near,Failed,November,,,,,,,,,,,,,,,,pivot 6,
O000042,C00042,Aditya Mehta,33,Kolkata,West Bengal,2024-09-13 00:00:00,Delivered,P00634,Fresh Bread 500ml,Grocery & Staples,Dal & Pulses,100,2,200,Debit Card,34,Delivered On Time,5.4,4,200,Fast,Near,Successful,September,,,pivot 4,,,,,pivot 5,,,,,,,,TOP -10 PRODUCTS,
O000043,C00043,Pooja Patel,57,Delhi,Delhi,2024-12-20 00:00:00,Delivered,P00398,Happy Potato 500ml,Household,Laundry,260,2,460,UPI,32,Delivered Late,1.9,4,520,Fast,Near,Successful,December,,,PAYMENT MODE ANALYSIS,,,,,DELIVERY PERFORMANCE,,,,,,,,Row Labels,Sum of REVENUE
O000044,C00044,Pooja Mehta,34,Hyderabad,Telangana,2024-03-14 00:00:00,Delivered,P00321,Pure Almonds 500g,Beverages,Energy Drinks,100,2,960,UPI,53,Delivered On Time,7.1,4,200,Slow,Far,Successful,March,,,Row Labels,Count of Order Id,,,,Row Labels,Count of Order Id,,,,,,,Daily Dishwash 500g,27600
O000045,C00045,Diya Patel,60,Chennai,Tamil Nadu,2023-08-22 00:00:00,Out for Delivery,P00642,Urban Tomato 500ml,Beverages,Energy Drinks,100,5,350,UPI,56,Delivered Late,6.8,5,500,Slow,Far,Failed,August,,,Cash on Delivery,1011,,,,Fast,5817,,,,,,,Fresh Shampoo 200g,28920
O000046,C00046,Diya Verma,54,Delhi,Delhi,2024-03-07 00:00:00,Delivered,P00319,Urban Juice 500ml,Grocery & Staples,Dry Fruits,80,5,2250,Net Banking,39,Delivered Late,5.8,4,400,Fast,Near,Successful,March,,,Credit Card,1488,,,,Slow,4183,,,,,,,Fresh Tea 500ml,42820
O000047,C00047,Meera Patel,40,Delhi,Delhi,2023-06-15 00:00:00,Delivered,P00454,Quick Cookies 500g,Household,Laundry,140,4,2120,UPI,55,Delivered Late,4.9,5,560,Slow,Near,Successful,June,,,Debit Card,1524,,,,Grand Total,10000,,,,,,,Good Milk 500ml,27440
O000048,C00048,Ananya Reddy,52,Chennai,Tamil Nadu,2024-04-05 00:00:00,Delivered,P00464,Fresh Eggs 1L,Personal Care,Deos & Perfumes,340,5,1300,Cash on Delivery,28,Delivered Late,1.6,5,1700,Fast,Near,Successful,April,,,Net Banking,502,,,,,,,,,,,,Green Eggs 6 pcs,27610
O000049,C00049,Khushi Sharma,60,Delhi,Delhi,2023-03-31 00:00:00,Delivered,P00518,Daily Bread 1kg,Beverages,Tea & Coffee,220,1,590,UPI,9,Delivered On Time,1.8,5,220,Fast,Near,Successful,March,,,UPI,4983,,,,,,,,,,,,Happy Atta 12 pcs,36450
O000050,C00050,Rohan Verma,27,Chennai,Tamil Nadu,2023-07-26 00:00:00,Delivered,P00166,Good Toothpaste 200g,Fruits & Vegetables,Fresh Vegetables,30,2,880,Credit Card,60,Delivered Late,7,3,60,Slow,Far,Successful,July,,,Wallet,492,,,,,,,,,,,,Metro Milk 500ml,43260
O000051,C00051,Nisha Patel,58,Chennai,Tamil Nadu,2024-05-12 00:00:00,Delivered,P00403,Pure Toor Dal 12 pcs,Personal Care,Hair Care,120,5,450,UPI,36,Delivered On Time,5.1,1,600,Fast,Near,Successful,May,,,Grand Total,10000,,,,,,,,,,,,Pure Almonds 1kg,27760
O000052,C00052,Saanvi Reddy,45,Chennai,Tamil Nadu,2023-09-03 00:00:00,Delivered,P01085,Fresh Juice 500g,Grocery & Staples,Dry Fruits,130,3,600,Cash on Delivery,23,Delivered On Time,5.6,4,390,Fast,Near,Successful,September,,,,,,,,,,,,,,,,Quick Namkeen 500g,33000
O000053,C00053,Aarav Yadav,34,Bengaluru,Karnataka,2023-03-16 00:00:00,Delivered,P00653,Metro Eggs 1kg,Snacks & Branded Foods,Chips & Namkeen,50,3,1770,Debit Card,26,Delivered On Time,3.6,3,150,Fast,Near,Successful,March,,,,,,,,,,,,,,,,Urban Almonds 2kg,29360
O000054,C00054,Meera Khan,22,Bengaluru,Karnataka,2023-05-26 00:00:00,Delivered,P00897,Fresh Atta 12 pcs,Beverages,Juices,240,5,1900,UPI,71,Delivered On Time,9.1,5,1200,Slow,Far,Successful,May,,,,,,,,,,,,,,,,Grand Total,324220
O000055,C00055,Vivaan Yadav,45,Bengaluru,Karnataka,2024-02-15 00:00:00,Delivered,P00657,Green Toothpaste 1kg,Snacks & Branded Foods,Instant Food,200,5,1650,Net Banking,16,Delivered On Time,3.2,1,1000,Fast,Near,Successful,February,,,,,,,,,,,,,,,,,
O000056,C00056,Yash Yadav,31,Hyderabad,Telangana,2024-06-25 00:00:00,Delivered,P00621,Daily Shampoo 500ml,Baby Care,Baby Skin Care,120,4,400,Credit Card,49,Delivered Late,4.3,4,480,Slow,Near,Successful,June,,,,,,,,,,,,,,,,,
O000057,C00057,Vihaan Yadav,44,Lucknow,Uttar Pradesh,2024-06-18 00:00:00,Delivered,P01094,Metro Toor Dal 1kg,Household,Disposables,340,1,170,UPI,56,Delivered Late,5.2,5,340,Slow,Near,Successful,June,,,,,,,,,,,,,,,,,
O000058,C00058,Kabir Gupta,19,Bengaluru,Karnataka,2024-01-29 00:00:00,Delivered,P00573,Daily Basmati Rice 1kg,Beverages,Juices,230,2,320,Credit Card,29,Delivered On Time,5.8,2,460,Fast,Near,Successful,January,,,,,,,,,,,,,,,,,
O000059,C00059,Kriti Patel,24,Kolkata,West Bengal,2023-08-23 00:00:00,Delivered,P00080,Quick Curd 1L,Baby Care,Diapers,580,1,120,UPI,41,Delivered Late,6.5,5,580,Fast,Far,Successful,August,,,,,,,,,,,,,,,,,
O000060,C00060,Saanvi Patel,47,Pune,Maharashtra,2024-02-15 00:00:00,Delivered,P00445,Green Shampoo 200g,Baby Care,Baby Food,420,1,70,Net Banking,27,Delivered Late,2.6,5,420,Fast,Near,Successful,February,,,,,,,,,,,,,,,,,
O000061,C00061,Kabir Patel,43,Pune,Maharashtra,2023-06-07 00:00:00,Delivered,P00021,Pure Eggs 200g,Dairy & Bakery,Breads,40,5,1250,UPI,73,Delivered Late,7.8,3,200,Slow,Far,Successful,June,,,,,,,,,,,,,,,,,
O000062,C00062,Aditya Reddy,43,Jaipur,Rajasthan,2023-05-27 00:00:00,Delivered,P00204,Smart Bread 12 pcs,Beverages,Energy Drinks,40,1,150,Credit Card,42,Delivered On Time,4.8,4,40,Fast,Near,Successful,May,,,,,,,,,,,,,,,,,
O000063,C00063,Aarav Verma,34,Mumbai,Maharashtra,2023-05-01 00:00:00,Delivered,P00897,Fresh Atta 12 pcs,Beverages,Juices,240,4,600,Debit Card,57,Delivered Late,6.9,5,960,Slow,Far,Successful,May,,,,,,,,,,,,,,,,,
O000064,C00064,Nisha Khan,38,Kolkata,West Bengal,2024-02-25 00:00:00,Delivered,P00575,Good Tomato 500ml,Personal Care,Skin Care,80,2,900,UPI,44,Delivered Late,4.3,5,160,Fast,Near,Successful,February,,,,,,,,,,,,,,,,,
O000065,C00065,Khushi Verma,30,Chennai,Tamil Nadu,2023-02-23 00:00:00,Delivered,P00467,Quick Bread 6 pcs,Dairy & Bakery,Cakes,220,5,1700,Credit Card,21,Delivered Late,1.6,5,1100,Fast,Near,Successful,February,,,,,,,,,,,,,,,,,
O000066,C00066,Kriti Sharma,52,Hyderabad,Telangana,2024-06-16 00:00:00,Delivered,Not found,Not found,Not found,Not found,0,4,800,Net Banking,17,Delivered On Time,3,4,0,Fast,Near,Successful,June,,,,,,,,,,,,,,,,,
O000067,C00067,Kriti Verma,60,Delhi,Delhi,2023-03-15 00:00:00,Delivered,P00973,Metro Eggs 6 pcs,Household,Laundry,200,2,540,Credit Card,12,Delivered On Time,2.3,2,400,Fast,Near,Successful,March,,,,,,,,,,,,,,,,,
O000068,C00068,Khushi Reddy,36,Jaipur,Rajasthan,2024-10-03 00:00:00,Delivered,P01008,Pure Shampoo 2kg,Baby Care,Baby Skin Care,170,4,520,Credit Card,26,Delivered On Time,3.7,5,680,Fast,Near,Successful,October,,,,,,,,,,,,,,,,,
O000069,C00069,Ishaan Khan,29,Lucknow,Uttar Pradesh,2024-01-09 00:00:00,Delivered,P00020,Pure Cookies 1kg,Personal Care,Oral Care,120,1,470,UPI,62,Delivered On Time,6.9,4,120,Slow,Far,Successful,January,,,,,,,,,,,,,,,,,
O000070,C00070,Yash Khan,37,Chennai,Tamil Nadu,2024-10-18 00:00:00,Delivered,P00707,Metro Toor Dal 6 pcs,Fruits & Vegetables,Herbs,160,1,250,Cash on Delivery,59,Delivered On Time,7.5,5,160,Slow,Far,Successful,October,,,,,,,,,,,,,,,,,
O000071,C00071,Kriti Mehta,47,Ahmedabad,Gujarat,2024-11-29 00:00:00,Cancelled,P01113,Urban Potato 1kg,Beverages,Energy Drinks,230,5,300,UPI,8,Delivered On Time,0.8,5,1150,Fast,Near,Failed,November,,,,,,,,,,,,,,,,,
O000072,C00072,Ishaan Singh,28,Delhi,Delhi,2023-06-25 00:00:00,Out for Delivery,Not found,Not found,Not found,Not found,0,3,1470,UPI,39,Delivered Late,4.2,2,0,Fast,Near,Failed,June,,,,,,,,,,,,,,,,,
O000073,C00073,Khushi Mehta,33,Chennai,Tamil Nadu,2023-11-27 00:00:00,Delivered,P00853,Good Namkeen 2kg,Fruits & Vegetables,Herbs,70,1,100,Credit Card,58,Delivered Late,9.6,5,70,Slow,Far,Successful,November,,,,,,,,,,,,,,,,,
O000074,C00074,Ishaan Gupta,48,Lucknow,Uttar Pradesh,2023-08-03 00:00:00,Delivered,P00789,Daily Atta 1L,Dairy & Bakery,Breads,220,3,1590,UPI,32,Delivered On Time,5.6,3,660,Fast,Near,Successful,August,,,,,,,,,,,,,,,,,
O000075,C00075,Riya Khan,42,Ahmedabad,Gujarat,2024-03-05 00:00:00,Delivered,P00125,Green Toor Dal 6 pcs,Fruits & Vegetables,Fresh Vegetables,130,4,1200,UPI,64,Delivered Late,8.2,4,520,Slow,Far,Successful,March,,,,,,,,,,,,,,,,,
O000076,C00076,Kabir Gupta,24,Kolkata,West Bengal,2024-05-08 00:00:00,Delivered,P00032,Daily Toothpaste 1kg,Fruits & Vegetables,Fresh Fruits,240,3,1170,Debit Card,24,Delivered Late,3.6,1,720,Fast,Near,Successful,May,,,,,,,,,,,,,,,,,
O000077,C00077,Aryan Singh,33,Delhi,Delhi,2024-12-19 00:00:00,Returned,P00179,Quick Namkeen 500ml,Baby Care,Baby Food,390,4,640,Cash on Delivery,21,Delivered On Time,4.9,5,1560,Fast,Near,Failed,December,,,,,,,,,,,,,,,,,
O000078,C00078,Krishna Jain,56,Pune,Maharashtra,2023-02-26 00:00:00,Delivered,P00238,Pure Milk 500g,Fruits & Vegetables,Herbs,110,4,480,Wallet,64,Delivered Late,7.4,3,440,Slow,Far,Successful,February,,,,,,,,,,,,,,,,,
O000079,C00079,Nisha Singh,53,Ahmedabad,Gujarat,2023-07-29 00:00:00,Out for Delivery,P00973,Metro Eggs 6 pcs,Household,Laundry,200,2,120,Debit Card,5,Delivered On Time,2,4,400,Fast,Near,Failed,July,,,,,,,,,,,,,,,,,
O000080,C00080,Saanvi Jain,58,Chennai,Tamil Nadu,2024-09-01 00:00:00,Delivered,P00817,Good Cashew 1L,Grocery & Staples,Dal & Pulses,130,1,600,UPI,44,Delivered Late,4.6,4,130,Fast,Near,Successful,September,,,,,,,,,,,,,,,,,
O000081,C00081,Saanvi Patel,36,Hyderabad,Telangana,2024-01-01 00:00:00,Delivered,P00629,Quick Milk 500g,Beverages,Soft Drinks,160,5,1450,UPI,26,Delivered Late,2.2,2,800,Fast,Near,Successful,January,,,,,,,,,,,,,,,,,
O000082,C00082,Diya Yadav,27,Hyderabad,Telangana,2023-05-28 00:00:00,Delivered,Not found,Not found,Not found,Not found,0,3,630,UPI,57,Delivered Late,6.5,5,0,Slow,Far,Successful,May,,,,,,,,,,,,,,,,,
O000083,C00083,Krishna Patel,39,Jaipur,Rajasthan,2024-04-27 00:00:00,Delivered,P00681,Urban Apple 500g,Baby Care,Baby Skin Care,130,3,1380,UPI,46,Delivered On Time,8.2,5,390,Slow,Far,Successful,April,,,,,,,,,,,,,,,,,
O000084,C00084,Kriti Sharma,42,Lucknow,Uttar Pradesh,2023-02-14 00:00:00,Delivered,P00442,Quick Cold Drink 500g,Household,Disposables,240,5,1050,Credit Card,52,Delivered On Time,7.3,4,1200,Slow,Far,Successful,February,,,,,,,,,,,,,,,,,
O000085,C00085,Aarav Mehta,40,Chennai,Tamil Nadu,2023-11-10 00:00:00,Delivered,P00305,Daily Coffee 1L,Fruits & Vegetables,Fresh Vegetables,290,5,850,Cash on Delivery,26,Delivered Late,2.6,3,1450,Fast,Near,Successful,November,,,,,,,,,,,,,,,,,
O000086,C00086,Kriti Singh,32,Ahmedabad,Gujarat,2024-02-27 00:00:00,Delivered,P00879,Happy Tea 1L,Household,Disposables,300,2,200,UPI,64,Delivered Late,9,4,600,Slow,Far,Successful,February,,,,,,,,,,,,,,,,,
O000087,C00087,Rohan Khan,39,Kolkata,West Bengal,2023-04-19 00:00:00,Delivered,Not found,Not found,Not found,Not found,0,1,300,Credit Card,59,Delivered Late,5.1,5,0,Slow,Near,Successful,April,,,,,,,,,,,,,,,,,
O000088,C00088,Riya Gupta,43,Lucknow,Uttar Pradesh,2024-05-22 00:00:00,Delivered,P00594,Green Bread 500g,Personal Care,Deos & Perfumes,200,2,380,UPI,59,Delivered On Time,9.3,5,400,Slow,Far,Successful,May,,,,,,,,,,,,,,,,,
O000089,C00089,Aarav Verma,47,Bengaluru,Karnataka,2023-10-21 00:00:00,Delivered,P01101,Green Toor Dal 12 pcs,Baby Care,Diapers,170,4,480,Cash on Delivery,74,Delivered On Time,8.6,5,680,Slow,Far,Successful,October,,,,,,,,,,,,,,,,,
O000090,C00090,Rohan Khan,38,Pune,Maharashtra,2024-05-22 00:00:00,Delivered,P01018,Fresh Dishwash 2kg,Household,Cleaning Supplies,210,3,870,Debit Card,56,Delivered On Time,6.9,4,630,Slow,Far,Successful,May,,,,,,,,,,,,,,,,,
O000091,C00091,Rohan Khan,48,Mumbai,Maharashtra,2023-11-20 00:00:00,Delivered,P00967,Urban Cookies 500ml,Dairy & Bakery,Paneer,60,2,140,UPI,33,Delivered Late,1.7,5,120,Fast,Near,Successful,November,,,,,,,,,,,,,,,,,
O000092,C00092,Vivaan Yadav,59,Mumbai,Maharashtra,2023-01-18 00:00:00,Delivered,P00173,Metro Juice 500ml,Grocery & Staples,Rice,130,4,2040,UPI,25,Delivered On Time,3.2,4,520,Fast,Near,Successful,January,,,,,,,,,,,,,,,,,
O000093,C00093,Kabir Patel,33,Bengaluru,Karnataka,2024-02-29 00:00:00,Delivered,Not found,Not found,Not found,Not found,0,4,520,UPI,28,Delivered On Time,3.8,3,0,Fast,Near,Successful,February,,,,,,,,,,,,,,,,,
O000094,C00094,Vihaan Mehta,34,Pune,Maharashtra,2024-01-21 00:00:00,Delivered,P00072,Fresh Almonds 500ml,Dairy & Bakery,Cakes,40,5,750,Credit Card,14,Delivered On Time,1.8,5,200,Fast,Near,Successful,January,,,,,,,,,,,,,,,,,
O000095,C00095,Nisha Mehta,28,Chennai,Tamil Nadu,2023-07-07 00:00:00,Delivered,P01144,Green Tea 1kg,Fruits & Vegetables,Fresh Fruits,300,2,740,Debit Card,15,Delivered Late,0.7,5,600,Fast,Near,Successful,July,,,,,,,,,,,,,,,,,
